index,x,r,g,b,hex
234,0.91764706,0.73974157,0.87316046,0.92732113,#bddfec
235,0.92156863,0.74783050,0.87586321,0.92672506,#bfdfec
236,0.92549020,0.75589832,0.87855968,0.92611880,#c1e0ec
237,0.92941176,0.76394589,0.88124991,0.92550230,#c3e1ec
238,0.93333333,0.77197404,0.88393392,0.92487549,#c5e1ec
239,0.93725490,0.77998357,0.88661175,0.92423832,#c7e2ec
240,0.94117647,0.78797523,0.88928342,0.92359073,#c9e3ec
241,0.94509804,0.79594974,0.89194896,0.92293264,#cbe3eb
242,0.94901961,0.80390778,0.89460840,0.92226401,#cde4eb
243,0.95294118,0.81185004,0.89726176,0.92158477,#cfe5eb
244,0.95686275,0.81977712,0.89990907,0.92089485,#d1e5eb
245,0.96078431,0.82768965,0.90255036,0.92019420,#d3e6eb
246,0.96470588,0.83558820,0.90518565,0.91948274,#d5e7ea
247,0.96862745,0.84347333,0.90781497,0.91876041,#d7e7ea
248,0.97254902,0.85134558,0.91043834,0.91802714,#d9e8ea
249,0.97647059,0.85920545,0.91305579,0.91728287,#dbe9ea
250,0.98039216,0.86705345,0.91566734,0.91652752,#dde9ea
251,0.98431373,0.87489004,0.91827302,0.91576104,#dfeaea
252,0.98823529,0.88271568,0.92087284,0.91498334,#e1ebe9
253,0.99215686,0.89053081,0.92346684,0.91419437,#e3ebe9
254,0.99607843,0.89833585,0.92605503,0.91339404,#e5ece9
255,1.00000000,0.90613120,0.92863744,0.91258228,#e7ede9
